,daily_views
2011-09-01,416
2011-09-02,88
2011-09-03,238
2011-09-04,239
2011-09-05,301
2011-09-06,387
2011-09-07,383
2011-09-08,331
2011-09-09,365
2011-09-10,247
2011-09-11,221
2011-09-12,362
2011-09-13,390
2011-09-14,369
2011-09-15,396
2011-09-16,311
2011-09-17,230
2011-09-18,237
2011-09-19,366
2011-09-20,390
2011-09-21,350
2011-09-22,367
2011-09-23,347
2011-09-24,259
2011-09-25,230
2011-09-26,388
2011-09-27,383
2011-09-28,353
2011-09-29,361
2011-09-30,363
2011-09-31,85
2011-10-01,278
2011-10-02,252
2011-10-03,367
2011-10-04,375
2011-10-05,474
2011-10-06,436
2011-10-07,477
2011-10-08,239
2011-10-09,248
2011-10-10,387
2011-10-11,426
2011-10-12,406
2011-10-13,411
2011-10-14,433
2011-10-15,309
2011-10-16,264
2011-10-17,371
2011-10-18,389
2011-10-19,377
2011-10-20,408
2011-10-21,396
2011-10-22,221
2011-10-23,261
2011-10-24,402
2011-10-25,361
2011-10-26,441
2011-10-27,433
2011-10-28,340
2011-10-29,268
2011-10-30,266
2011-10-31,398
2011-11-01,416
2011-11-02,478
2011-11-03,414
2011-11-04,468
2011-11-05,271
2011-11-06,288
2011-11-07,429
2011-11-08,493
2011-11-09,498
2011-11-10,478
2011-11-11,399
2011-11-12,288
2011-11-13,287
2011-11-14,437
2011-11-15,469
2011-11-16,487
2011-11-17,507
2011-11-18,408
2011-11-19,331
2011-11-20,281
2011-11-21,486
2011-11-22,498
2011-11-23,446
2011-11-24,407
2011-11-25,352
2011-11-26,263
2011-11-27,279
2011-11-28,489
2011-11-29,444
2011-11-30,423
2011-11-31,81
2011-12-01,457
2011-12-02,388
2011-12-03,274
2011-12-04,342
2011-12-05,464
2011-12-06,459
2011-12-07,467
2011-12-08,475
2011-12-09,339
2011-12-10,268
2011-12-11,291
2011-12-12,396
2011-12-13,463
2011-12-14,448
2011-12-15,406
2011-12-16,350
2011-12-17,235
2011-12-18,239
2011-12-19,359
2011-12-20,346
2011-12-21,372
2011-12-22,348
2011-12-23,94
2011-12-24,79
2011-12-25,79
